date,prediction,superior,inferior,std
2022-11,6407.986960836037,6769.2662625253615,6046.707659146712,149.85126159402805
2022-12,6312.85794407283,6668.7739163801425,5956.941971765517,149.85126159402805
2023-01,6627.063471007408,7000.694203667954,6253.432738346863,149.85126159402805
2023-02,6290.59428335863,6645.255040908947,5935.933525808312,149.85126159402805
2023-03,6130.067598726224,6475.677937029288,5784.45726042316,149.85126159402805
2023-04,6462.828047067967,6827.199263497264,6098.456830638671,149.85126159402805
2023-05,6589.578197179947,6961.0955276699215,6218.0608666899725,149.85126159402805
2023-06,6553.236929711374,6922.705356573143,6183.768502849604,149.85126159402805
2023-07,6841.726803432248,7227.460154170941,6455.993452693555,149.85126159402805
2023-08,6237.489869095095,6589.156624657111,5885.823113533079,149.85126159402805
2023-09,6611.968302024311,6984.74797613208,6239.188627916542,149.85126159402805
2023-10,6668.384091660665,7044.344461548348,6292.423721772982,149.85126159402805
2023-11,6650.327603841258,7025.269957408023,6275.385250274492,149.85126159402805
2023-12,6246.775619256711,6598.965901060987,5894.585337452436,149.85126159402805
2024-01,6359.236995084789,6717.7677965521825,6000.706193617395,149.85126159402805
2024-02,6439.528532972605,6802.586133716738,6076.470932228472,149.85126159402805
2024-03,6558.0731538056325,6927.814244715295,6188.33206289597,149.85126159402805
2024-04,6796.639483400171,7179.830832166047,6413.4481346342955,149.85126159402805
2024-05,6508.036760789645,6874.956823311086,6141.116698268204,149.85126159402805
2024-06,6694.753528134626,7072.20059449243,6317.306461776822,149.85126159402805
2024-07,6405.26950041525,6766.395592959614,6044.143407870886,149.85126159402805
2024-08,6368.545999023825,6727.60163777055,6009.4903602771,149.85126159402805
2024-09,6548.747824979347,6917.963158220185,6179.532491738509,149.85126159402805
2024-10,6503.186188654299,6869.832778192015,6136.539599116583,149.85126159402805
2024-11,6567.140218366662,6937.392506126911,6196.887930606414,149.85126159402805
2024-12,6480.508431755601,6845.87645998751,6115.140403523692,149.85126159402805
2025-01,6782.7926486428705,7165.203319354578,6400.381977931163,149.85126159402805
2025-02,6348.871273678108,6706.817660630584,5990.924886725632,149.85126159402805
2025-03,6613.4340672585995,6986.296380523334,6240.571753993865,149.85126159402805
2025-04,6735.461130630035,7115.203272538533,6355.718988721536,149.85126159402805
2025-05,6769.234945948784,7150.881239736542,6387.588652161026,149.85126159402805
2025-06,6811.132528996032,7195.140988880303,6427.124069111762,149.85126159402805
2025-07,6468.648125128286,6833.347474830989,6103.948775425582,149.85126159402805
2025-08,6711.5650674226845,7089.959960486665,6333.170174358704,149.85126159402805
2025-09,6436.602250040542,6799.494868324395,6073.709631756688,149.85126159402805
2025-10,6509.297905077233,6876.289070322561,6142.306739831904,149.85126159402805
2025-11,6695.144178415678,7072.613269453245,6317.67508737811,149.85126159402805
2025-12,6776.301927526321,7158.346654423414,6394.2572006292285,149.85126159402805
2026-01,6768.582215275813,7150.191708414137,6386.972722137489,149.85126159402805
2026-02,6646.916184844408,7021.666204206925,6272.166165481892,149.85126159402805
2026-03,6612.912666419201,6985.7455833489685,6240.079749489433,149.85126159402805
2026-04,6760.228016137113,7141.36650344327,6379.089528830956,149.85126159402805
2026-05,6674.953535262264,7051.284287301375,6298.622783223153,149.85126159402805
2026-06,6850.7001665175285,7236.9394312615195,6464.460901773537,149.85126159402805
2026-07,6941.420536435657,7332.774573118688,6550.0664997526255,149.85126159402805
2026-08,6888.19426355843,7276.5474279216305,6499.84109919523,149.85126159402805
2026-09,6984.220557501041,7377.987639313111,6590.453475688972,149.85126159402805
2026-10,6924.136117681626,7314.515666935808,6533.756568427444,149.85126159402805
2026-11,6918.762717619293,7308.8393170962545,6528.686118142331,149.85126159402805
2026-12,7229.04227857934,7636.612294287831,6821.472262870849,149.85126159402805
2027-01,7295.389492933706,7706.700133493257,6884.078852374154,149.85126159402805
2027-02,7597.88777938483,8026.253131565864,7169.522427203795,149.85126159402805
2027-03,7014.818817458578,7410.311014826896,6619.326620090261,149.85126159402805
2027-04,7563.855472907107,7990.302099598483,7137.40884621573,149.85126159402805
2027-05,7602.031860764494,8030.630854311552,7173.432867217436,149.85126159402805
2027-06,7450.724816120991,7870.7931894025,7030.656442839482,149.85126159402805
2027-07,7622.2343270555075,8051.972326183979,7192.496327927036,149.85126159402805
2027-08,7447.576366710154,7867.46723188943,7027.685501530877,149.85126159402805
2027-09,7532.6050569117215,7957.289799795076,7107.920314028367,149.85126159402805
2027-10,8063.867700839563,8518.504782606396,7609.2306190727295,149.85126159402805
