time,indicador,prediction,superior,inferior
2022-12-14 11:32:10.719309,Câmbio,5.2616,6.9897705166816015,3.5334294833183977
2022-12-14 11:32:10.719309,Câmbio,5.271393220452607,7.0027803166631655,3.5400061242420486
2022-12-14 11:32:10.719309,Câmbio,5.338438838697659,7.091847042693642,3.585030634701676
2022-12-14 11:32:10.719309,Câmbio,5.389606619241652,7.159820861275525,3.619392377207779
2022-12-14 11:32:10.719309,Câmbio,5.322754463711061,7.071011140714416,3.574497786707707
2022-12-14 11:32:10.719309,Câmbio,5.3175910454530095,7.064151799695443,3.571030291210576
2022-12-14 11:32:10.719309,Câmbio,5.393541397453341,7.165048015892704,3.622034779013979
2022-12-14 11:32:10.719309,Câmbio,5.407771879973686,7.183952494978697,3.631591264968676
2022-12-14 11:32:10.719309,Câmbio,5.469626410780328,7.266123122878088,3.673129698682568
2022-12-14 11:32:10.719309,Câmbio,5.506902746681431,7.315642857113197,3.698162636249665
2022-12-14 11:32:10.719309,Câmbio,5.484143329022191,7.285408117389274,3.682878540655109
2022-12-14 11:32:10.719309,Câmbio,5.606848692209632,7.448416010396397,3.765281374022867
2022-12-14 11:32:10.719309,Câmbio,5.585967999140366,7.420677061638713,3.75125893664202
2022-12-14 11:32:10.719309,Câmbio,5.711579454409594,7.5875455515654116,3.835613357253776
2022-12-14 11:32:10.719309,Câmbio,5.696935006365364,7.568091140136828,3.8257788725939
2022-12-14 11:32:10.719309,Câmbio,5.7778277927601085,7.675553131423548,3.8801024540966687
2022-12-14 11:32:10.719309,Câmbio,5.848499521382646,7.769436962404378,3.9275620803609135
2022-12-14 11:32:10.719309,Câmbio,5.904086995652046,7.84328212143301,3.964891869871081
2022-12-14 11:32:10.719309,Câmbio,5.8814819946567845,7.813252516467555,3.949711472846013
2022-12-14 11:32:10.719309,Câmbio,6.0374256919089575,8.020415861707704,4.054435522110212
2022-12-14 11:32:10.719309,Câmbio,6.022445734671623,8.000515743219282,4.044375726123962
2022-12-14 11:32:10.719309,Câmbio,6.11472660330938,8.123106228025799,4.106346978592962
2022-12-14 11:32:10.719309,Câmbio,6.168072039351766,8.193972952225394,4.142171126478138
2022-12-14 11:32:10.719309,Câmbio,6.157531497552968,8.179970373486022,4.135092621619915
2022-12-14 11:32:10.719309,Câmbio,6.116865021773361,8.125947009220086,4.107783034326635
2022-12-14 11:32:10.719309,Câmbio,6.229897271626103,8.276104658500701,4.183689884751505
2022-12-14 11:32:10.719309,Câmbio,6.340662423249271,8.42325058200142,4.258074264497122
2022-12-14 11:32:10.719309,Câmbio,6.257170101724729,8.312335239261277,4.202004964188182
2022-12-14 11:32:10.719309,Câmbio,6.406916072838542,8.511265217572662,4.302566928104422
2022-12-14 11:32:10.719309,Câmbio,6.307932826049225,8.37977096106259,4.236094691035859
2022-12-14 11:32:10.719309,Câmbio,6.393429112117572,8.493348469737958,4.293509754497187
2022-12-14 11:32:10.719309,Câmbio,6.530787495621067,8.675822162004906,4.385752829237228
2022-12-14 11:32:10.719309,Câmbio,6.533743550368807,8.679749131809043,4.387737968928571
2022-12-14 11:32:10.719309,Câmbio,6.508473577604626,8.646179246111837,4.370767909097415
2022-12-14 11:32:10.719309,Câmbio,6.52706910721349,8.67088247034061,4.3832557440863695
2022-12-14 11:32:10.719309,Câmbio,6.610192759605552,8.781308054712081,4.439077464499023
2022-12-14 11:32:10.719309,Câmbio,6.758961280463246,8.978939539602882,4.5389830213236095
2022-12-14 11:32:10.719309,Câmbio,6.7898151957149295,9.019927411571564,4.559702979858296
2022-12-14 11:32:10.719309,Câmbio,6.852376700348657,9.10303721858237,4.601716182114943
2022-12-14 11:32:10.719309,Câmbio,6.8116502993637,9.048934246700206,4.574366352027195
2022-12-14 11:32:10.719309,Câmbio,6.929397700737759,9.205355737224052,4.653439664251467
2022-12-14 11:32:10.719309,Câmbio,7.102222916771886,9.434945329662565,4.7695005038812095
2022-12-14 11:32:10.719309,Câmbio,7.159068895833696,9.510462348903504,4.807675442763888
2022-12-14 11:32:10.719309,Câmbio,7.201594988501737,9.566956120516844,4.836233856486631
2022-12-14 11:32:10.719309,Câmbio,7.283747499054668,9.676091591881876,4.891403406227461
2022-12-14 11:32:10.719309,Câmbio,7.274645762901335,9.664000393954405,4.885291131848266
2022-12-14 11:32:10.719309,Câmbio,7.391133885682987,9.81874899631163,4.963518775054345
2022-12-14 11:32:10.719309,Câmbio,7.546725780898901,10.025444990270652,5.068006571527147
2022-12-14 11:32:10.719309,Câmbio,7.551250785796776,10.031456231304372,5.07104534028918
2022-12-14 11:32:10.719309,Câmbio,7.621532261476839,10.124821630912358,5.11824289204132
2022-12-14 11:32:10.719309,Câmbio,7.66137888440456,10.17775586196936,5.145001906839761
2022-12-14 11:32:10.719309,Câmbio,7.778108175716341,10.332824844568613,5.223391506864072
2022-12-14 11:32:10.719309,Câmbio,7.809955491077525,10.375132398534529,5.244778583620523
2022-12-14 11:32:10.719309,Câmbio,7.697028572258536,10.225114676225598,5.168942468291475
2022-12-14 11:32:10.719309,Câmbio,7.790683962671868,10.349531143961537,5.231836781382201
2022-12-14 11:32:10.719309,Câmbio,7.866988248373351,10.450897543249331,5.28307895349737
2022-12-14 11:32:10.719309,Câmbio,7.812257774467671,10.378190866027587,5.246324682907755
2022-12-14 11:32:10.719309,Câmbio,7.785791918474848,10.343032309710615,5.22855152723908
2022-12-14 11:32:10.719309,Câmbio,7.956606803888091,10.569951279201234,5.343262328574948
2022-12-14 11:32:10.719309,Câmbio,7.892198450310511,10.48438802641414,5.300008874206882
