prediction,superior,inferior,std
13.75,26.509983442161914,0.9900165578380857,1.7766894261114776
15.369336416234479,28.129319858396393,2.6093529740725643,1.679070435854793
13.638903003598765,26.39888644576068,0.8789195614368506,1.30133730399328
13.472670235354817,26.23265367751673,0.7126867931929031,1.0622636687321236
14.412196321425458,27.172179763587373,1.6522128792635442,0.8895522467826079
13.477200544042105,26.23718398620402,0.7172171018801912,0.6914870343105654
13.209520604894108,25.96950404705602,0.44953716273219335,0.6272165686422594
12.776817041049593,25.536800483211508,0.016833598887679102,0.6536409383450368
11.24524456414079,24.005228006302705,-1.5147388780211237,0.9648830787700867
12.191692350669044,24.951675792830958,-0.5682910914928705,1.0384129629477135
11.674985531001315,24.43496897316323,-1.084997911160599,1.1457400614908118
11.698231635911947,24.458215078073863,-1.0617518062499673,1.214920365490191
12.100468690190091,24.860452132352005,-0.6595147519718232,1.2250530523094667
10.92955030769136,23.689533749853275,-1.830433134470555,1.0869671566938122
9.160522558084644,21.920506000246558,-3.5994608840772706,1.4076992137590059
10.096707306223056,22.85669074838497,-2.663276135938858,1.4654673096101225
11.797715725242453,24.557699167404365,-0.9622677169194613,1.2368835052182956
9.151256370139688,21.911239812301602,-3.6087270720222264,1.2995471381764943
10.053518933158255,22.81350237532017,-2.706464509003659,1.2015926790917222
9.588702966355186,22.3486864085171,-3.1712804758067286,1.1415934500918066
8.111501346056794,20.87148478821871,-4.64848209610512,1.3682532021851728
9.154327263379626,21.91431070554154,-3.6056561787822883,1.3161369268874343
8.908037006731087,21.668020448893003,-3.8519464354308273,1.2942286277229873
8.524436172935275,21.28441961509719,-4.23554726922664,1.2532212456607956
8.183174044699758,20.943157486861672,-4.576809397462156,1.0997610862195981
8.852598875878389,21.612582318040303,-3.9073845662835254,1.009156780116236
8.935456287627375,21.69543972978929,-3.8245271545345396,1.0140347808427932
8.932472085615498,21.692455527777412,-3.8275113565464167,0.9840198103793716
7.908313332399816,20.668296774561732,-4.8516701097620984,0.6162123876020753
8.195562260499056,20.95554570266097,-4.564421181662858,0.6363852596871087
8.350421808000714,21.11040525016263,-4.4095616341612,0.5020363839295905
8.101753592076587,20.8617370342385,-4.658229850085327,0.42310466820612125
8.941105649492426,21.70108909165434,-3.818877792669488,0.4192665479780218
6.9841907843904245,19.74417422655234,-5.77579265777149,0.585268401221732
7.624649356388269,20.384632798550182,-5.135334085773645,0.6013233925339562
7.287735570680563,20.047719012842478,-5.472247871481351,0.6613187462268347
5.894705322661417,18.65468876482333,-6.8652781195004975,0.9365955607860794
6.860076148868572,19.620059591030486,-5.899907293293342,0.9483937042460218
6.571066202128248,19.33104964429016,-6.188917240033666,0.9445161192053121
6.207493589674354,18.967477031836268,-6.55248985248756,0.93241246247603
6.308204092821345,19.06818753498326,-6.451779349340569,0.9684798307213927
6.1989416850155425,18.95892512717746,-6.561041757146372,0.9678803813108743
5.139552631396856,17.89953607355877,-7.6204308107650585,1.0355116736373626
5.925065199897981,18.685048642059897,-6.834918242263933,0.9844103856031634
5.575025806565263,18.335009248727175,-7.184957635596652,0.7199749669980939
5.522483449089037,18.28246689125095,-7.237499993072877,0.7322637728326811
3.9568898677785254,16.71687330994044,-8.80309357438339,0.8642529947860342
3.427021452812591,16.187004894974507,-9.332961989349323,1.0260450787578825
3.029591191187264,15.78957463334918,-9.73039225097465,1.2649507271266522
3.2973063800878832,16.057289822249796,-9.46267706207403,1.3068407056274423
2.9042135834538105,15.664197025615724,-9.855769858708104,1.3584028470339395
3.643891831155943,16.40387527331786,-9.11609161100597,1.316313134773454
3.5661749443286705,16.326158386490583,-9.193808497833244,1.2232421850221793
2.449610994625732,15.209594436787647,-10.310372447536182,1.1859910501753388
3.45479682203199,16.214780264193905,-9.305186620129923,1.1424500456084858
3.3462475229641493,16.106230965126063,-9.413735919197766,0.9528938888564339
4.469802354792289,17.229785796954204,-8.290181087369625,0.7932320261320107
4.442102190323687,17.202085632485602,-8.317881251838227,0.5888007421519887
4.472050594157706,17.232034036319618,-8.287932848004209,0.6416334287242166
4.21389830711731,16.973881749279222,-8.546085135044605,0.6684727127255563
