prediction,superior,inferior
5.2616,6.440917201056696,4.082282798943303
5.220262716301731,6.390314718614636,4.050210713988825
5.2880953612413855,6.473351142817349,4.102839579665422
5.230301658067139,6.402603754781815,4.057999561352464
5.187370901252234,6.350050643556426,4.024691158948042
5.295366774889758,6.482252346489959,4.108481203289557
5.356915277890871,6.557596122466688,4.1562344333150545
5.367188074342335,6.570171428717103,4.164204719967566
5.283537127045669,6.467771241449394,4.099303012641944
5.350295498189529,6.549492607766676,4.151098388612382
5.2867712415278225,6.471730239396461,4.101812243659184
5.623053047430665,6.883385110166195,4.362720984695136
5.61711211361595,6.876112595570342,4.358111631661558
5.672361902016161,6.943745884391548,4.4009779196407735
5.616676084928598,6.875578836889995,4.357773332967202
5.803781146825534,7.104620993567953,4.502941300083115
5.817608508682779,7.121547573473603,4.513669443891955
5.835737347411994,7.143739748706647,4.5277349461173415
5.982949739344703,7.323947827505508,4.6419516511838985
5.947508069589063,7.2805623819446,4.614453757233527
6.113781694406789,7.484104013800032,4.743459375013547
6.000638846194314,7.345601710844984,4.655675981543644
6.0385591715393545,7.392021369462997,4.685096973615712
6.241588552249878,7.640557067831991,4.842620036667765
6.242419998186017,7.641574871243848,4.843265125128187
6.151861217137548,7.5307185517665385,4.773003882508558
6.21743530733418,7.610990196416671,4.82388041825169
6.256947430241568,7.65935843271066,4.854536427772476
6.198023447091692,7.587227427574426,4.808819466608957
6.326549199134395,7.744560506316747,4.908537891952044
6.299961308090025,7.712013295436501,4.88790932074355
6.369876971593162,7.797599618927577,4.942154324258747
6.463115987565485,7.9117369121056464,5.014495063025323
6.471718087787258,7.922267057932702,5.021169117641815
6.547953885981085,8.015590089695456,5.080317682266714
6.567831901932123,8.039923496807726,5.09574030705652
6.640119520014781,8.128413416743108,5.151825623286453
6.715911082380217,8.221192643163683,5.210629521596751
6.751538765097266,8.264805794001077,5.238271736193454
6.9234864530488895,8.475293254281134,5.371679651816646
6.922129576156818,8.473632251598707,5.370626900714931
7.163736666667384,8.769392336965659,5.558080996369108
7.207356737783085,8.822789263064267,5.591924212501902
7.310689166027913,8.949282271751564,5.672096060304264
7.356629327745241,9.00551930570026,5.707739349790222
7.500042303073992,9.18107637952755,5.819008226620435
7.623756930578492,9.332519984574695,5.914993876582289
7.7805061243862434,9.52440241171627,6.036609837056217
7.629251838786588,9.33924650289531,5.919257174677865
7.607339406787287,9.312422692613023,5.9022561209615505
7.847464099367856,9.606368120399368,6.088560078336343
7.920066783355025,9.695243724043857,6.144889842666192
8.019740090275054,9.81725746834738,6.2222227122027265
8.020932765673253,9.818717465969309,6.223148065377197
8.083594519581736,9.895424013140802,6.271765026022669
8.10989597178828,9.927620583752384,6.2921713598241755
8.073675223197046,9.883281439264696,6.264069007129398
8.008959475547595,9.804060523152753,6.213858427942437
7.968168476090339,9.754126767251025,6.182210184929653
8.09996555301443,9.915464394552487,6.284466711476374
