date,prediction,superior,inferior,std
2022-10,6370.401591446503,6854.129084493883,5886.674098399122,129.85710417986976
2022-11,6475.338011890661,6967.033704565985,5983.642319215336,115.88605217940888
2022-12,6529.810286063488,7025.642254332739,6033.978317794237,105.25353890681501
2023-01,6320.247241143232,6800.166334078099,5840.328148208365,81.90315234148265
2023-02,6357.044413994893,6839.757648542223,5874.331179447563,62.80350506601314
2023-03,6514.41086511929,7009.073499998678,6019.748230239902,64.95080033230093
2023-04,6375.750193755969,6859.88382540377,5891.616562108168,65.3145829044152
2023-05,6552.279966353868,7049.818138221183,6054.741794486553,76.32183530720548
2023-06,6510.572245093717,7004.943399755559,6016.201090431876,79.76553518853933
2023-07,6583.828861226588,7083.762654093008,6083.895068360168,90.64173131724904
2023-08,6757.683217061321,7270.818396134886,6244.548037987755,125.45060707519599
2023-09,6417.901853518017,6905.236212217603,5930.5674948184305,122.51422306178024
2023-10,6669.852413282036,7176.318283691994,6163.386542872077,128.41824061064298
2023-11,6523.515644142449,7018.869637622766,6028.161650662131,128.14599816977352
2023-12,6738.31201946281,7249.976273867476,6226.647765058144,144.28298353121625
2024-01,6557.30077562869,7055.22019559296,6059.381355664419,128.83559180382778
2024-02,6723.180546391474,7233.695813651479,6212.66527913147,123.10689619596013
2024-03,6590.574435055054,7091.020443591141,6090.128426518967,121.53726445933262
2024-04,6784.060371313722,7299.198462529807,6268.922280097636,115.10496020923287
2024-05,6478.578388818827,6970.520134962758,5986.636642674896,120.72585541925216
2024-06,6607.914375673178,7109.677068233716,6106.15168311264,116.54171810810013
2024-07,6666.777561196609,7173.009947034297,6160.545175358921,116.70046681734149
2024-08,6658.276855928883,7163.863752657405,6152.689959200362,109.85417784904175
2024-09,6630.268477962024,7133.728597867492,6126.808358056556,89.99576398173002
2024-10,6940.190510335684,7467.184124261616,6413.196896409752,125.96533674803324
2024-11,6720.580583154886,7230.898425860033,6210.262740449739,119.48263823686536
2024-12,6580.897924262564,7080.609160549224,6081.186687975904,120.49685517655604
2025-01,6793.306455334038,7309.146634947449,6277.466275720628,121.19281687826093
2025-02,6747.953604539519,7260.349979158463,6235.557229920575,122.17958851824872
2025-03,6802.700778091534,7319.254302402469,6286.1472537805985,122.89052078550095
2025-04,6793.919927180403,7309.806689916406,6278.0331644443995,123.52794300209675
2025-05,6614.342824681442,7116.593652484054,6112.09199687883,106.2333873500476
2025-06,6853.767934840876,7374.199171939115,6333.336697742636,107.80039903684009
2025-07,6496.748006251991,6990.069436763446,6003.426575740536,126.86732768457006
2025-08,6759.077790141661,7272.318864162405,6245.836716120918,125.78389639506614
2025-09,6737.312649353853,7248.901017993629,6225.724280714077,121.97538274893769
2025-10,6722.424849779196,7232.8827342788645,6211.966965279527,103.79874911312336
2025-11,6719.06268269823,7229.265265765181,6208.860099631279,103.79702250521136
2025-12,6937.357976235358,7464.136505664708,6410.5794468060085,111.56598711655418
2026-01,6776.9812563996575,7291.581804972439,6262.380707826876,111.06389164202065
2026-02,6846.171222776029,7366.025614218656,6326.316831333402,114.71532457987564
2026-03,6897.579576763511,7421.337589326265,6373.821564200757,121.37887996266674
2026-04,6830.219743806456,7348.862882108824,6311.576605504088,122.66783887063302
2026-05,6966.531746536235,7495.525545217893,6437.537947854577,125.21037436285383
2026-06,6647.780751588157,7152.570641382874,6142.99086179344,130.47083837816916
2026-07,6801.542912065453,7318.008515446751,6285.077308684155,95.77224388353186
2026-08,6819.7826737680925,7337.633287823451,6301.932059712734,94.81072797309437
2026-09,7161.852618934905,7705.677833593869,6618.027404275941,136.04738663870037
2026-10,6903.472587450836,7427.67807749917,6379.267097402501,131.3026474183193
2026-11,7103.062792633108,7642.423884444331,6563.701700821885,140.55698824981872
2026-12,7199.5331347646,7746.219566443775,6652.846703085424,166.41129484350677
2027-01,7187.796906095325,7733.592163742451,6642.0016484481985,177.78178024865676
2027-02,7324.598301902067,7880.7813813040775,6768.415222500056,204.6957503816598
2027-03,7263.0854478342235,7814.597635101525,6711.573260566922,217.00715061410324
2027-04,7486.403077753143,8054.8725754385205,6917.933580067766,246.24616841274982
2027-05,7375.9145119899595,7935.9942156945635,6815.834808285355,258.3487367397664
2027-06,7799.4318531151275,8391.670750984138,7207.192955246117,285.0837560948373
2027-07,7632.726320467196,8212.3066679721,7053.145972962293,279.8123140172924
2027-08,7568.198346900045,8142.878853407958,6993.517840392133,252.00844533015083
2027-09,7752.558661141686,8341.238309045217,7163.879013238155,272.2397140462958
