date,prediction,superior,inferior,std
2022-11,6407.986960836037,6860.53755760826,5955.436364063814,111.85336885174819
2022-12,6608.218608074705,7074.9101436478895,6141.527072501521,114.53970653906264
2023-01,6593.436942202782,7059.084553724231,6127.789330681333,106.31328949757818
2023-02,6742.230696996573,7218.386554389846,6266.0748396033,123.98275108123215
2023-03,6296.668880117735,6741.357871651293,5851.979888584177,126.1061311857301
2023-04,6652.194202692178,7121.991422111036,6182.39698327332,135.41179135337893
2023-05,6324.135580276828,6770.764349719474,5877.506810834181,141.63852905866892
2023-06,6487.576759907549,6945.748218783101,6029.405301031997,141.61310721382688
2023-07,6455.591901664898,6911.504497222866,5999.679306106929,140.42394179878494
2023-08,6258.680838896651,6700.687004945406,5816.674672847896,152.4489201544347
2023-09,6685.0021414708035,7157.116352538345,6212.887930403262,161.11404703797237
2023-10,6762.790215929834,7240.398046090758,6285.18238576891,175.9092692115755
2023-11,6501.479537251664,6960.632850525848,6042.3262239774795,172.3934891572608
2023-12,6510.686727389153,6970.490279094966,6050.88317568334,170.69562420526862
2024-01,6427.373338726778,6881.2930576488,5973.453619804755,171.15623556013065
2024-02,6359.999345425727,6809.160917825033,5910.837773026422,158.87100173384624
2024-03,6903.8037700323075,7391.3703857606915,6416.2371543039235,189.91590941058533
2024-04,6687.0568797415835,7159.316202376352,6214.7975571068155,192.25008164783455
2024-05,6805.528475341342,7286.154605152357,6324.902345530326,195.50635616915176
2024-06,6276.977932520724,6720.276292309788,5833.679572731659,212.35004217434073
2024-07,6836.191091166083,7318.982703705902,6353.399478626265,224.56437733346394
2024-08,6806.039112908876,7286.701305423723,6325.376920394028,207.26184561869022
2024-09,6357.676050728407,6806.673545327902,5908.6785561289125,220.51562142761213
2024-10,6218.453230031107,6657.618405842197,5779.288054220016,239.79420662391038
2024-11,6523.3634216996825,6984.0622382695465,6062.6646051298185,239.41146897070843
2024-12,6670.699545667624,7141.803665999077,6199.5954253361715,240.9013339257696
2025-01,6724.742431731832,7199.663217185908,6249.8216462777555,239.87842283956905
2025-02,6766.070051501721,7243.90951314917,6288.230589854271,231.82878902891954
2025-03,7083.440399471161,7583.693474200095,6583.187324742227,255.5998272877614
2025-04,6858.850954259345,7343.242871954013,6374.459036564676,262.79668165621337
2025-05,6447.306045255603,6902.633469638019,5991.978620873187,265.18076321254404
2025-06,6802.418496233391,7282.824990313271,6322.012002153511,243.97584315509485
2025-07,6548.751558919561,7011.243359264206,6086.259758574915,240.75823279649396
2025-08,6734.627684390455,7210.246595015079,6259.008773765831,237.42777596173613
2025-09,6817.289172645316,7298.745876959043,6335.83246833159,223.58485000146777
2025-10,6645.663331925288,7114.999322337117,6176.327341513459,170.63315185840491
2025-11,6302.1776280107,6747.255663273851,5857.099592747549,202.59376948005757
2025-12,6662.648941834117,7133.1845052082135,6192.113378460021,202.71352541312493
2026-01,6978.796368635432,7471.659178856527,6485.933558414337,218.26000650242347
2026-02,6792.353397954487,7272.04906564528,6312.657730263694,218.88799731558663
2026-03,6826.3047303254325,7308.398139431679,6344.211321219186,191.21724231028156
2026-04,6691.221368861771,7163.774799778611,6218.6679379449315,184.6831147846389
2026-05,6749.635426507233,7226.314227342724,6272.956625671743,168.88925121070645
2026-06,6792.215778874234,7271.901727507034,6312.529830241435,168.42132675684448
2026-07,6615.589898489993,7082.80201593964,6148.377781040346,163.57415175724262
2026-08,6975.335918784205,7467.954342015308,6482.717495553103,179.8328495982651
2026-09,7487.397436356094,8016.179126893691,6958.615745818496,281.93867788649396
2026-10,7406.840720211707,7929.933262162086,6883.748178261328,327.6319442021206
2026-11,7500.381646131114,8030.080319165432,6970.682973096797,325.8465952260238
2026-12,7619.309365225525,8157.407058198221,7081.211672252828,362.3812900690309
2027-01,6897.549437196382,7384.674353827279,6410.424520565485,364.3068392673789
2027-02,7767.737946600137,8316.31809584025,7219.157797360023,412.24085430154105
2027-03,7713.345014977196,8258.083777863592,7168.6062520908,435.46553090768003
2027-04,7581.164866882644,8116.568684915496,7045.761048849791,419.2603950981626
2027-05,7730.392897149229,8276.33563084546,7184.450163452997,406.360630887801
2027-06,7766.435520759794,8314.923688915223,7217.947352604365,383.5157127238967
2027-07,8535.67223657244,9138.48612931622,7932.8583438286605,415.7660827785445
2027-08,8468.59467997266,9066.67136141205,7870.517998533271,440.482446611873
2027-09,8004.760934604655,8570.080333678725,7439.441535530584,442.4307783192062
2027-10,8360.352736851491,8950.785058797852,7769.92041490513,460.57706672443805
